Epoch:[1/1](19010/79390), loss: 2.4173, logits_loss: 2.4173, aux_loss: 0.0000, lr: 0.00043928, epoch_time: 138.0min
Epoch:[1/1](19020/79390), loss: 2.5390, logits_loss: 2.5390, aux_loss: 0.0000, lr: 0.00043922, epoch_time: 138.0min
Epoch:[1/1](19030/79390), loss: 2.3896, logits_loss: 2.3896, aux_loss: 0.0000, lr: 0.00043916, epoch_time: 138.0min
Epoch:[1/1](19040/79390), loss: 2.6480, logits_loss: 2.6480, aux_loss: 0.0000, lr: 0.00043910, epoch_time: 138.0min
Epoch:[1/1](19050/79390), loss: 2.1314, logits_loss: 2.1314, aux_loss: 0.0000, lr: 0.00043904, epoch_time: 138.0min
Epoch:[1/1](19060/79390), loss: 2.6235, logits_loss: 2.6235, aux_loss: 0.0000, lr: 0.00043898, epoch_time: 138.0min
Epoch:[1/1](19070/79390), loss: 2.1416, logits_loss: 2.1416, aux_loss: 0.0000, lr: 0.00043892, epoch_time: 138.0min
Epoch:[1/1](19080/79390), loss: 2.5564, logits_loss: 2.5564, aux_loss: 0.0000, lr: 0.00043886, epoch_time: 138.0min
Epoch:[1/1](19090/79390), loss: 2.5957, logits_loss: 2.5957, aux_loss: 0.0000, lr: 0.00043880, epoch_time: 138.0min
Epoch:[1/1](19100/79390), loss: 2.4156, logits_loss: 2.4156, aux_loss: 0.0000, lr: 0.00043873, epoch_time: 137.0min
Epoch:[1/1](19110/79390), loss: 2.6856, logits_loss: 2.6856, aux_loss: 0.0000, lr: 0.00043867, epoch_time: 137.0min
Epoch:[1/1](19120/79390), loss: 2.7345, logits_loss: 2.7345, aux_loss: 0.0000, lr: 0.00043861, epoch_time: 137.0min
Epoch:[1/1](19130/79390), loss: 2.5155, logits_loss: 2.5155, aux_loss: 0.0000, lr: 0.00043855, epoch_time: 137.0min
Epoch:[1/1](19140/79390), loss: 2.1960, logits_loss: 2.1960, aux_loss: 0.0000, lr: 0.00043849, epoch_time: 137.0min
Epoch:[1/1](19150/79390), loss: 2.5314, logits_loss: 2.5314, aux_loss: 0.0000, lr: 0.00043843, epoch_time: 137.0min
Epoch:[1/1](19160/79390), loss: 2.4033, logits_loss: 2.4033, aux_loss: 0.0000, lr: 0.00043837, epoch_time: 137.0min
Epoch:[1/1](19170/79390), loss: 2.7426, logits_loss: 2.7426, aux_loss: 0.0000, lr: 0.00043831, epoch_time: 137.0min
Epoch:[1/1](19180/79390), loss: 2.3351, logits_loss: 2.3351, aux_loss: 0.0000, lr: 0.00043825, epoch_time: 137.0min
Epoch:[1/1](19190/79390), loss: 2.2421, logits_loss: 2.2421, aux_loss: 0.0000, lr: 0.00043818, epoch_time: 137.0min
Epoch:[1/1](19200/79390), loss: 2.3168, logits_loss: 2.3168, aux_loss: 0.0000, lr: 0.00043812, epoch_time: 137.0min
Epoch:[1/1](19210/79390), loss: 2.1401, logits_loss: 2.1401, aux_loss: 0.0000, lr: 0.00043806, epoch_time: 137.0min
Epoch:[1/1](19220/79390), loss: 2.3736, logits_loss: 2.3736, aux_loss: 0.0000, lr: 0.00043800, epoch_time: 137.0min
Epoch:[1/1](19230/79390), loss: 2.4770, logits_loss: 2.4770, aux_loss: 0.0000, lr: 0.00043794, epoch_time: 137.0min
Epoch:[1/1](19240/79390), loss: 2.3017, logits_loss: 2.3017, aux_loss: 0.0000, lr: 0.00043788, epoch_time: 137.0min
Epoch:[1/1](19250/79390), loss: 2.3786, logits_loss: 2.3786, aux_loss: 0.0000, lr: 0.00043782, epoch_time: 137.0min
Epoch:[1/1](19260/79390), loss: 2.2115, logits_loss: 2.2115, aux_loss: 0.0000, lr: 0.00043775, epoch_time: 137.0min
Epoch:[1/1](19270/79390), loss: 2.4620, logits_loss: 2.4620, aux_loss: 0.0000, lr: 0.00043769, epoch_time: 137.0min
Epoch:[1/1](19280/79390), loss: 2.3774, logits_loss: 2.3774, aux_loss: 0.0000, lr: 0.00043763, epoch_time: 137.0min
